millis,target_rpm,rpm,error,p_term,i_term,output,sat
37899,100,98.28,1.72,0.69,82.80,83,0
38099,100,98.64,1.36,0.54,82.88,83,0
38299,100,98.64,1.36,0.54,82.96,83,0
38499,100,98.40,1.60,0.64,83.06,83,0
38699,100,98.16,1.84,0.74,83.17,83,0
38899,100,98.88,1.12,0.45,83.24,83,0
39099,100,98.28,1.72,0.69,83.34,84,0
39299,100,98.28,1.72,0.69,83.44,84,0
39499,100,99.36,0.64,0.26,83.48,83,0
39699,100,98.64,1.36,0.54,83.56,84,0
39899,100,99.12,0.88,0.35,83.62,83,0
40099,100,102.36,-2.36,-0.94,83.47,82,0
40299,100,102.84,-2.84,-1.14,83.30,82,0
40499,100,102.48,-2.48,-0.99,83.16,82,0
40699,100,100.56,-0.56,-0.22,83.12,82,0
40899,100,97.68,2.32,0.93,83.26,84,0
41099,100,97.92,2.08,0.83,83.39,84,0
41299,100,99.12,0.88,0.35,83.44,83,0
41499,100,97.44,2.56,1.02,83.59,84,0
41699,100,96.00,4.00,1.60,83.83,85,0
41899,100,94.56,5.44,2.18,84.16,86,0
42099,100,97.08,2.92,1.17,84.33,85,0
42299,100,96.36,3.64,1.46,84.55,86,0
42499,100,95.76,4.24,1.70,84.81,86,0
42699,100,97.92,2.08,0.83,84.93,85,0
42899,100,96.72,3.28,1.31,85.13,86,0
43099,100,96.00,4.00,1.60,85.37,86,0
43299,100,96.48,3.52,1.41,85.58,86,0
43499,100,98.88,1.12,0.45,85.65,86,0
43699,100,99.12,0.88,0.35,85.70,86,0
43899,100,102.72,-2.72,-1.09,85.54,84,0
44099,100,104.40,-4.40,-1.76,85.27,83,0
44299,100,104.40,-4.40,-1.76,85.01,83,0
44499,100,104.40,-4.40,-1.76,84.74,82,0
44699,100,103.68,-3.68,-1.47,84.52,83,0
44899,100,103.68,-3.68,-1.47,84.30,82,0
45099,100,103.44,-3.44,-1.38,84.10,82,0
45299,100,103.92,-3.92,-1.57,83.86,82,0
45499,100,103.20,-3.20,-1.28,83.67,82,0
45699,100,103.20,-3.20,-1.28,83.48,82,0
45899,100,103.68,-3.68,-1.47,83.26,81,0
